"year","Measures","Contra.Costa.County..California","Marin.County..California","San.Mateo.County..California","Ventura.County..California","Santa.Clara.County..California","Douglas.County..Colorado","District.of.Columbia","DuPage.County..Illinois","Lake.County..Illinois","Hamilton.County..Indiana","Johnson.County..Kansas","Oakland.County..Michigan","Dakota.County..Minnesota","Washington.County..Minnesota","Bergen.County..New.Jersey","Middlesex.County..New.Jersey","Monmouth.County..New.Jersey","Morris.County..New.Jersey","Somerset.County..New.Jersey","Nassau.County..New.York","Rockland.County..New.York","Suffolk.County..New.York","Westchester.County..New.York","Bucks.County..Pennsylvania","Chester.County..Pennsylvania","Montgomery.County..Pennsylvania","Collin.County..Texas","Fort.Bend.County..Texas","Arlington.County..Virginia","Fairfax.County..Virginia","Loudoun.County..Virginia","Prince.William.County..Virginia","Waukesha.County..Wisconsin","Anne.Arundel.County..Maryland","Baltimore.County..Maryland","Frederick.County..Maryland","Howard.County..Maryland","Montgomery.County..Maryland","Prince.George.s.County..Maryland"
"2010","Tenure..Total.",368087,102727,255758,264305,596747,98725,257317,335453,239246,95835,210278,481040,151122,86315,333874,277398,232513,178638,114431,442833,97557,495289,345795,229552,181136,306661,268042,167620,91892,381768,95330,124879,151161,195999,315542,83455,102271,353177,301906
"2010","Tenure..Owner.occupied",255807,65720,156149,175452,353399,81496,111879,255354,187452,76715,151234,358624,118257,72835,225252,185819,176366,136806,91186,363366,69300,403093,216753,180092,139743,227627,189724,135409,43168,274448,77022,93372,117491,148426,211526,64112,76443,244815,194047
"2010","Tenure..Renter.occupied",112280,37007,99609,88853,243348,17229,145438,80099,51794,19120,59044,122416,32865,13480,108622,91579,56147,41832,23245,79467,28257,92196,129042,49460,41393,79034,78318,32211,48724,107320,18308,31507,33670,47573,104016,19343,25828,108362,107859
"2011","Tenure...Total..",370925,102832,256423,264982,599652,100795,260136,335651,239947,98959,212587,481449,151719,87446,333073,278513,233120,179581,114348,443315,98106,496677,345908,229955,182732,307598,276234,177980,92436,385570,99761,127170,152181,197348,315127,85048,103547,355434,302091
"2011","Tenure...Owner.occupied.",253163,64786,154127,174310,351897,82110,111381,254592,186237,78993,152175,354203,118286,72590,222670,185605,176545,136585,90645,362670,69289,401345,214765,180127,139759,226980,194135,142467,43096,273783,78987,94336,117390,147837,210981,64588,76862,244497,193551
"2011","Tenure...Renter.occupied.",117762,38046,102296,90672,247755,18685,148755,81059,53710,19966,60412,127246,33433,14856,110403,92908,56575,42996,23703,80645,28817,95332,131143,49828,42973,80618,82099,35513,49340,111787,20774,32834,34791,49511,104146,20460,26685,110937,108540
"2012","Tenure..Total.",373145,103152,257369,265951,604455,102189,261192,335532,240744,101203,214670,482978,153160,88216,334527,280141,233661,179712,115132,442869,98401,496349,344875,229933,183793,308083,283025,184182,92992,388452,104195,129643,152995,198761,314823,85559,104905,357579,302683
"2012","Tenure..Owner.occupied",249560,64588,153656,173802,351460,82767,110853,251585,184999,80584,152467,349839,117762,72218,221504,186569,176642,136374,90457,360215,68924,397764,214097,179829,140502,225549,196686,146143,42696,270928,81476,94406,117369,147829,209260,64670,77803,243751,191829
"2012","Tenure..Renter.occupied",123585,38564,103713,92149,252995,19422,150339,83947,55745,20619,62203,133139,35398,15998,113023,93572,57019,43338,24675,82654,29477,98585,130778,50104,43291,82534,86339,38039,50296,117524,22719,35237,35626,50932,105563,20889,27102,113828,110854
"2013","Tenure...Total..",375855,102912,257941,267076,609377,103780,263649,336028,241072,103234,216304,486332,154275,88947,335422,280988,233909,179665,115531,441955,98326,497347,343561,230366,184788,307488,289752,191406,94454,389908,106997,132442,153422,199904,313912,86337,106142,360563,303441
"2013","Tenure...Owner.occupied.",247843,64596,153318,173340,350367,83925,111070,250115,183009,81811,151705,347761,116922,72319,220018,185879,175948,136296,90063,355915,68701,397731,212542,179645,139815,225139,197559,150628,42654,269167,83100,95506,118038,148360,208904,65037,78490,242592,189759
"2013","Tenure...Renter.occupied.",128012,38316,104623,93736,259010,19855,152579,85913,58063,21423,64599,138571,37353,16628,115404,95109,57961,43369,25468,86040,29625,99616,131019,50721,44973,82349,92193,40778,51800,120741,23897,36936,35384,51544,105008,21300,27652,117971,113682
"2014","Tenure...Total..",380183,103034,258683,267829,614714,105404,267415,337003,241846,105578,217826,489797,155220,89898,335671,282182,233730,179776,115941,441912,98394,496780,342956,231959,185306,307953,296878,198316,96264,391794,110047,134737,153882,201429,313408,87259,107516,362608,305115
"2014","Tenure...Owner.occupied.",247153,64490,153322,172637,350103,85040,111198,248836,181664,83206,152020,347091,116845,72540,217432,183878,174727,135820,89848,354515,67926,393936,212162,179188,139572,223624,199496,156145,43157,267156,84662,96757,118176,149541,207603,64897,78764,241626,189940
"2014","Tenure...Renter.occupied.",133030,38544,105361,95192,264611,20364,156217,88167,60182,22372,65806,142706,38375,17358,118239,98304,59003,43956,26093,87397,30468,102844,130794,52771,45734,84329,97382,42171,53107,124638,25385,37980,35706,51888,105805,22362,28752,120982,115175
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Total.",255807,65720,156149,175452,353399,81496,111879,255354,187452,76715,151234,358624,118257,72835,225252,185819,176366,136806,91186,363366,69300,403093,216753,180092,139743,227627,189724,135409,43168,274448,77022,93372,117491,148426,211526,64112,76443,244815,194047
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage.",201386,48628,116961,137949,270260,72250,86527,192540,145828,64319,119269,270444,95698,58560,153265,133448,129467,100744,68516,239955,49867,287764,147405,129358,105477,164029,155007,106590,34856,230798,70421,83510,86816,117033,152141,51662,62668,196640,166285
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage..Less.than..20.000.",6738,1328,3283,4424,7626,1427,4356,4939,3802,1724,2923,11315,2388,1562,4111,3596,3811,1915,1470,5231,1151,6851,3244,3324,2948,3755,4119,4312,551,3992,953,1836,2016,3239,5561,1086,921,4386,4816
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage..Less.than..20.000..Less.than.20.percent",0,0,3,0,22,0,11,0,0,5,0,37,0,0,0,0,0,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,12,0,12,0,0,0,0
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage..Less.than..20.000..20.to.29.percent",69,14,0,80,26,0,44,10,0,0,13,155,13,3,18,0,12,0,0,9,0,17,14,45,11,11,19,9,15,9,7,0,13,31,87,0,0,0,11
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage..Less.than..20.000..30.percent.or.more",6669,1314,3280,4344,7578,1427,4301,4929,3802,1719,2910,11123,2375,1559,4093,3596,3799,1904,1470,5222,1151,6834,3230,3279,2937,3731,4100,4303,536,3983,946,1836,1991,3208,5462,1086,921,4386,4805
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...20.000.to..34.999.",10021,2266,5239,7398,10457,1919,4562,10264,8015,3180,5252,19377,5202,2851,5934,5798,6246,3502,2384,8415,2282,12989,5646,6221,4913,8157,6930,6638,777,6551,1551,3205,4006,4825,9053,2303,1656,7279,8716
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...20.000.to..34.999..Less.than.20.percent",188,31,68,184,59,37,83,224,58,95,116,266,120,86,99,9,56,81,10,108,22,49,152,177,78,102,37,30,9,72,0,34,28,51,196,121,35,32,151
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...20.000.to..34.999..20.to.29.percent",401,60,169,331,361,85,275,339,304,290,409,1099,257,228,100,184,101,78,13,223,52,213,209,265,274,440,373,334,0,297,27,87,217,144,501,145,93,125,197
