"year","Measures","Anne.Arundel.County..Maryland","Baltimore.County..Maryland","Frederick.County..Maryland","Howard.County..Maryland","Montgomery.County..Maryland","Prince.George.s.County..Maryland"
"2011","Employment.Status.for.the.Population.16.Years.and.Over...Total..",422397,647813,179664,219312,756143,676370
"2011","Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..",299103,440836,130381,160961,552551,500885
"2011","Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..Civilian.labor.force..",289334,439627,129530,159811,548454,497423
"2011","Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..Civilian.labor.force..Employed.",271913,409569,122367,152515,516957,453409
"2011","Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..Civilian.labor.force..Unemployed.",17421,30058,7163,7296,31497,44014
"2011","Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..Armed.Forces.",9769,1209,851,1150,4097,3462
"2011","Employment.Status.for.the.Population.16.Years.and.Over...Not.in.labor.force.",123294,206977,49283,58351,203592,175485
"2013","Employment.Status.for.the.Population.16.Years.and.Over...Total..",432941,656067,184912,228910,781128,692623
"2013","Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..",306597,443351,133309,167864,567813,508231
"2013","Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..Civilian.labor.force..",295969,442342,132512,166824,563883,505012
"2013","Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..Civilian.labor.force..Employed.",275387,408629,124307,158202,528089,455167
"2013","Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..Civilian.labor.force..Unemployed.",20582,33713,8205,8622,35794,49845
"2013","Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..Armed.Forces.",10628,1009,797,1040,3930,3219
"2013","Employment.Status.for.the.Population.16.Years.and.Over...Not.in.labor.force.",126344,212716,51603,61046,213315,184392
