"year","Measures","Anne.Arundel.County..Maryland","Baltimore.County..Maryland","Frederick.County..Maryland","Howard.County..Maryland","Montgomery.County..Maryland","Prince.George.s.County..Maryland"
"2010","Tenure..Total.",195999,315542,83455,102271,353177,301906
"2010","Tenure..Owner.occupied",148426,211526,64112,76443,244815,194047
"2010","Tenure..Renter.occupied",47573,104016,19343,25828,108362,107859
"2011","Tenure...Total..",197348,315127,85048,103547,355434,302091
"2011","Tenure...Owner.occupied.",147837,210981,64588,76862,244497,193551
"2011","Tenure...Renter.occupied.",49511,104146,20460,26685,110937,108540
"2012","Tenure..Total.",198761,314823,85559,104905,357579,302683
"2012","Tenure..Owner.occupied",147829,209260,64670,77803,243751,191829
"2012","Tenure..Renter.occupied",50932,105563,20889,27102,113828,110854
"2013","Tenure...Total..",199904,313912,86337,106142,360563,303441
"2013","Tenure...Owner.occupied.",148360,208904,65037,78490,242592,189759
"2013","Tenure...Renter.occupied.",51544,105008,21300,27652,117971,113682
